soc2018_title,soc2018_code,employment_2024_thousands,employment_2034_thousands,employment_change_24to34_thousands,employment_change_24to34_percent,employment_change_24to34_thousands_annual_average,median_annual_wage_2024,typical_entry_level_edu,education_code,work_experience_in_a_related_occupation,work_exp_code,typical_ojt,ojt_code
Adhesive bonding machine operators and tenders,51-9191,12.2,12.3,0.1,1,1.3,45210,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Musical instrument repairers and tuners,49-9063,6.2,6.3,0.1,1.4,0.6,45320,High school diploma or equivalent,7,None,4,Apprenticeship,2
Self-enrichment teachers,25-3021,417.5,433,15.5,3.7,51.4,45590,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,174.7,153.6,-21.1,-12.1,14.4,45590,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,49.8,47.4,-2.4,-4.8,5.3,45650,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Broadcast announcers and radio disc jockeys,27-3011,24.1,22.8,-1.3,-5.5,2.3,45680,Bachelor's degree,3,None,4,None,6
"Molders, shapers, and casters, except metal and plastic",51-9195,41.7,44.3,2.6,6.2,5.5,45690,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Cutting and slicing machine setters, operators, and tenders",51-9032,49,47.9,-1.1,-2.3,5.3,45700,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Foundry mold and coremakers,51-4071,12.7,9.4,-3.3,-25.9,0.9,45700,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Fiberglass laminators and fabricators,51-2051,18.6,19.4,0.8,4.2,2.1,45760,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Animal control workers,33-9011,12.2,12.7,0.5,3.9,1.3,45830,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Coaches and scouts,27-2022,306.5,326,19.5,6.4,41.8,45920,Bachelor's degree,3,None,4,None,6
Veterinary technologists and technicians,29-2056,134.2,146.4,12.2,9.1,14.3,45980,Associate's degree,4,None,4,None,6
Cabinetmakers and bench carpenters,51-7011,86,84.7,-1.4,-1.6,8.1,46020,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Office and administrative support workers, all other",43-9199,232.9,214.8,-18.1,-7.8,21.3,46040,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Bill and account collectors,43-3011,166.9,149.4,-17.5,-10.5,13.7,46040,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Healthcare support workers, all other",31-9099,109.7,113.5,3.8,3.5,14.4,46050,High school diploma or equivalent,7,None,4,None,6
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,131,130.3,-0.7,-0.5,12.8,46060,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Rehabilitation counselors,21-1015,91.9,93.2,1.3,1.4,10,46110,Master's degree,2,None,4,None,6
Exercise trainers and group fitness instructors,39-9031,370.1,414.2,44.1,11.9,74.2,46180,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Upholsterers,51-6093,22.7,22.3,-0.4,-1.8,2.2,46190,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,1944,1913.2,-30.8,-1.6,202.8,46290,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Sales and related workers, all other",41-9099,122.6,127.1,4.5,3.7,16,46370,High school diploma or equivalent,7,None,4,None,6
Industrial truck and tractor operators,53-7051,792.5,801.6,9.1,1.1,76.4,46390,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,16.1,14.4,-1.7,-10.5,1.4,46480,No formal educational credential,8,None,4,Short-term on-the-job training,5
Medical equipment preparers,31-9093,76.5,84.2,7.6,10,10.9,46490,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Opticians, dispensing",29-2081,79.9,82.2,2.3,2.9,6.8,46560,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Outdoor power equipment and other small engine mechanics,49-3053,36.9,37.8,0.9,2.5,3.5,46560,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
New accounts clerks,43-4141,38.9,33.8,-5.2,-13.2,2.3,46610,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,5.3,4.3,-1,-19.6,0.4,46630,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Log graders and scalers,45-4023,4.6,4.6,0,-0.7,0.6,46710,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Construction laborers,47-2061,1457,1563.4,106.5,7.3,129.4,46730,No formal educational credential,8,None,4,Short-term on-the-job training,5
Correspondence clerks,43-4021,6.9,6.5,-0.4,-5.6,0.7,46740,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Agricultural technicians,19-4012,18.6,19.4,0.8,4.3,2.9,46790,Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Computer, automated teller, and office machine repairers",49-2011,79.1,78.4,-0.7,-0.9,7.6,46860,"Some college, no degree",6,None,4,Short-term on-the-job training,5
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,28.7,27.9,-0.7,-2.5,2.7,46890,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,123.3,131.1,7.8,6.3,13.4,46900,High school diploma or equivalent,7,Less than 5 years,2,None,6
Fence erectors,47-4031,26.4,27.6,1.2,4.6,2.3,46940,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,66,66.8,0.8,1.2,6.5,46980,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,16.5,17,0.5,3,1.9,47010,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Bus drivers, school",53-3051,387.3,388.2,0.9,0.2,61,47040,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Medical appliance technicians,51-9082,12,12.4,0.4,3.7,1.5,47060,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,38.9,35.4,-3.5,-9,3.2,47060,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
First-line supervisors of personal service workers,39-1022,149.1,159.1,10,6.7,16.3,47080,High school diploma or equivalent,7,Less than 5 years,2,None,6
Parking enforcement workers,33-3041,8.4,8.2,-0.1,-1.5,0.7,47150,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Billing and posting clerks,43-3021,429.8,427.9,-1.9,-0.4,42.2,47170,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Motorcycle mechanics,49-3052,14.9,15.7,0.8,5.3,1.5,47200,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Automotive glass installers and repairers,49-3022,20.4,21.1,0.7,3.6,1.4,47260,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Coil winders, tapers, and finishers",51-2021,12.2,11.5,-0.8,-6.3,1.2,47260,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Dental assistants,31-9091,381.9,406.3,24.4,6.4,52.9,47300,Postsecondary nondegree award,5,None,4,None,6
Prepress technicians and workers,51-5111,26.2,22.3,-3.8,-14.6,2.8,47300,Postsecondary nondegree award,5,None,4,None,6
First-line supervisors of retail sales workers,41-1011,1432.6,1360.3,-72.3,-5,125.1,47320,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Coin, vending, and amusement machine servicers and repairers",49-9091,32.5,31.6,-0.9,-2.9,3.5,47350,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,14.8,12.9,-1.9,-12.8,1.2,47450,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Museum technicians and conservators,25-4013,15.7,16.5,0.8,5.4,1.9,47460,Bachelor's degree,3,None,4,None,6
"Rock splitters, quarry",47-5051,3.2,3.4,0.1,4.4,0.4,47460,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Inspectors, testers, sorters, samplers, and weighers",51-9061,598,598.1,0.1,0,69.9,47460,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Roustabouts, oil and gas",47-5071,46,47.1,1.1,2.5,4.3,47510,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
First-line supervisors of housekeeping and janitorial workers,37-1011,269.8,276.4,6.7,2.5,33,47520,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,165.5,166.7,1.2,0.7,15.8,47590,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Mixing and blending machine setters, operators, and tenders",51-9023,101.1,94.3,-6.8,-6.8,8.8,47680,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Court, municipal, and license clerks",43-4031,180.4,185.9,5.5,3,18.5,47700,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Word processors and typists,43-9022,40,25.6,-14.4,-36.1,2.2,47850,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Electronic equipment installers and repairers, motor vehicles",49-2096,10.3,8.9,-1.4,-13.6,0.6,47940,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Miscellaneous construction and related workers,47-4090,35,36.2,1.2,3.5,3.1,48120,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Paperhangers,47-2142,2.3,2.5,0.1,5.3,0.2,48260,No formal educational credential,8,None,4,Long-term on-the-job training,3
Dental laboratory technicians,51-9081,35.2,33.6,-1.6,-4.7,3.9,48310,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,13.8,11.8,-2,-14.4,1.1,48310,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Refuse and recyclable material collectors,53-7081,147.9,149.2,1.3,0.9,16.9,48350,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Information and record clerks, all other",43-4199,153.3,153,-0.3,-0.2,17.8,48360,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Geological technicians, except hydrologic technicians",19-4043,9.8,10,0.1,1.5,1.3,48390,Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Educational instruction and library workers, all other",25-9099,132,134,2,1.5,12.5,48400,Bachelor's degree,3,None,4,None,6
Helpers--extraction workers,47-5081,7,6.9,-0.1,-1.7,0.7,48400,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Dredge operators,53-7031,1.1,1.2,0,1.2,0.1,48430,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Travel agents,41-3041,65.7,67.2,1.4,2.2,7.1,48450,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Insurance claims and policy processing clerks,43-9041,256.7,247.2,-9.5,-3.7,20.3,48450,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Hazardous materials removal workers,47-4041,51.3,51.8,0.5,1,5,48490,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Procurement clerks,43-3061,61.9,56.6,-5.4,-8.7,4.6,48510,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Maintenance and repair workers, general",49-9071,1629.7,1692.1,62.4,3.8,159.8,48620,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,18.9,16.4,-2.6,-13.6,1.5,48620,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,22.5,20.6,-1.9,-8.3,1.9,48630,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Installation, maintenance, and repair workers, all other",49-9099,221.2,226.5,5.4,2.4,21.5,48640,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Painters, construction and maintenance",47-2141,342.2,355.2,13,3.8,28.1,48660,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Insulation workers, floor, ceiling, and wall",47-2131,40.2,41.7,1.5,3.8,3.4,48680,No formal educational credential,8,None,4,Short-term on-the-job training,5
Farm labor contractors,13-1074,3.9,4.2,0.2,6,0.3,48690,No formal educational credential,8,Less than 5 years,2,Short-term on-the-job training,5
Pipelayers,47-2151,34.4,32.9,-1.4,-4.1,2.4,48710,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Health technologists and technicians, all other",29-2099,178.8,188.1,9.3,5.2,13.6,48790,Postsecondary nondegree award,5,None,4,None,6
"Dispatchers, except police, fire, and ambulance",43-5032,218.7,216.7,-2.1,-0.9,18.5,48880,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pourers and casters, metal",51-4052,5.9,5.7,-0.3,-4.7,0.6,48940,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Loan interviewers and clerks,43-4131,177.6,173.5,-4.1,-2.3,13.3,48950,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Tool grinders, filers, and sharpeners",51-4194,5.8,5.4,-0.5,-7.8,0.5,48970,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Highway maintenance workers,47-4051,159.1,163.9,4.8,3,12.3,49070,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Credit authorizers, checkers, and clerks",43-4041,12,11.3,-0.7,-6.2,1,49130,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Septic tank servicers and sewer pipe cleaners,47-4071,30.4,32.7,2.3,7.6,2.9,49140,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Jewelers and precious stone and metal workers,51-9071,35.1,33.2,-1.9,-5.5,4,49140,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Floor sanders and finishers,47-2043,5.6,5.8,0.1,2.6,0.4,49150,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Meter readers, utilities",43-5041,20.1,17.7,-2.4,-12,1.3,49180,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Proofreaders and copy markers,43-9081,12,11.9,-0.1,-0.6,1.9,49210,Bachelor's degree,3,None,4,None,6
Logging equipment operators,45-4022,30.9,30.5,-0.4,-1.4,4.2,49210,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Bookkeeping, accounting, and auditing clerks",43-3031,1613.4,1519.1,-94.3,-5.8,170,49210,"Some college, no degree",6,None,4,Moderate-term on-the-job training,4
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,8.8,7.2,-1.7,-18.9,0.6,49240,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Camera and photographic equipment repairers,49-9061,2.3,1.9,-0.3,-15.1,0.2,49300,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Rail transportation workers, all other",53-4099,1.6,1.6,0.1,3.9,0.2,49330,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Paper goods machine setters, operators, and tenders",51-9196,97.5,91.4,-6.1,-6.3,8.1,49390,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Home appliance repairers,49-9031,37.3,38.3,1,2.6,3.1,49410,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Food science technicians,19-4013,20.4,21.3,1,4.8,3.2,49430,Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Human resources assistants, except payroll and timekeeping",43-4161,95.2,88.4,-6.8,-7.1,9,49440,Associate's degree,4,None,4,None,6
"Environmental science and protection technicians, including health",19-4042,40.4,42.1,1.6,4,5.6,49490,Associate's degree,4,None,4,None,6
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,54.4,52,-2.3,-4.3,5.4,49500,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Sailors and marine oilers,53-5011,32.1,32.8,0.7,2.3,3.9,49610,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Automotive service technicians and mechanics,49-3023,805.6,839.2,33.6,4.2,70,49670,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Morticians, undertakers, and funeral arrangers",39-4031,27.5,28.4,0.8,3.1,3.2,49800,Associate's degree,4,None,4,Long-term on-the-job training,3
"Counselors, all other",21-1019,69.1,77.8,8.7,12.6,7.4,49830,Master's degree,2,None,4,None,6
Carpet installers,47-2041,20.3,18.3,-1.9,-9.6,1.1,49850,No formal educational credential,8,None,4,Short-term on-the-job training,5
Cargo and freight agents,43-5011,100.6,109.2,8.6,8.5,8.8,49900,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Structural metal fabricators and fitters,51-2041,53.8,45,-8.8,-16.3,4.1,49900,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Communications equipment operators, all other",43-2099,1.4,1.5,0,2.5,0.1,49910,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Computer numerically controlled tool operators,51-9161,177.1,158.1,-19,-10.7,13.5,49970,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Extraction workers, all other",47-5099,6.3,6.4,0.1,1.4,0.7,50110,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Medical records specialists,29-2072,194.8,208.6,13.8,7.1,14.2,50250,Postsecondary nondegree award,5,None,4,None,6
"Makeup artists, theatrical and performance",39-5091,7,7.6,0.6,8.1,1.1,50280,Postsecondary nondegree award,5,None,4,None,6
Tree trimmers and pruners,37-3013,60.1,62.1,2,3.3,7.4,50430,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Credit counselors,13-2071,31.8,32.9,1.1,3.3,2.2,50480,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Locksmiths and safe repairers,49-9094,18.8,17.2,-1.6,-8.3,1.7,50490,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Recreational vehicle service technicians,49-3092,19.5,21.7,2.2,11.5,2.8,50540,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Tax preparers,13-2082,90.6,94.7,4.1,4.5,10.4,50560,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Audiovisual equipment installers and repairers,49-2097,24.6,26.3,1.6,6.6,2.6,50620,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Public safety telecommunicators,43-5031,105.2,108.9,3.6,3.5,10.7,50730,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Roofers,47-2181,166.7,176.5,9.8,5.9,12.7,50970,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Agricultural inspectors,45-2011,14.7,14.9,0.2,1.5,2.2,50990,Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Welders, cutters, solderers, and brazers",51-4121,457.3,467.2,9.9,2.2,45.6,51000,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Community health workers,21-1094,65.1,72.5,7.4,11.3,7.8,51030,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Mechanical door repairers,49-9011,28.4,31.7,3.2,11.4,2.7,51050,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Semiconductor processing technicians,51-9141,31.9,35.4,3.5,10.9,3.9,51180,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Statistical assistants,43-9111,6.5,6.3,-0.2,-2.5,0.8,51440,Bachelor's degree,3,None,4,None,6
"Eligibility interviewers, government programs",43-4061,166.8,168.5,1.7,1,14,51500,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Paving, surfacing, and tamping equipment operators",47-2071,47,48.6,1.5,3.2,4,51650,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Automotive body and related repairers,49-3021,172.6,175.4,2.8,1.6,14.6,51680,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Model makers, wood",51-7031,0.9,0.9,0,-4.5,0.1,51850,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Solar photovoltaic installers,47-2231,28.6,40.6,12,42.1,4.1,51860,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Motorboat operators,53-5022,2.7,2.8,0,1.4,0.3,51880,Postsecondary nondegree award,5,Less than 5 years,2,None,6
Surveying and mapping technicians,17-3031,59.4,62.1,2.7,4.5,7.6,51940,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Stonemasons,47-2022,12.1,11.8,-0.4,-3,0.8,51990,High school diploma or equivalent,7,None,4,Apprenticeship,2
Biological technicians,19-4021,82.7,85.6,2.9,3.5,9.1,52000,Bachelor's degree,3,None,4,None,6
Animal breeders,45-2021,7.9,8.1,0.2,2.4,1.2,52000,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Logging workers, all other",45-4029,3.1,3,-0.1,-4.7,0.4,52000,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Farm equipment mechanics and service technicians,49-3041,39,43.3,4.3,11,3.7,52080,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Financial clerks, all other",43-3099,38.9,39.4,0.5,1.4,4,52150,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Tile and stone setters,47-2044,52.6,58,5.3,10.1,4.2,52240,No formal educational credential,8,None,4,Long-term on-the-job training,3
Hoist and winch operators,53-7041,2.7,2.7,0,-1.1,0.3,52310,No formal educational credential,8,None,4,Short-term on-the-job training,5
Private detectives and investigators,33-9021,43.6,46.2,2.6,6,3.9,52370,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Forest fire inspectors and prevention specialists,33-2022,2.9,3.3,0.4,14.6,0.3,52380,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Patternmakers, wood",51-7032,0.5,0.4,0,-5,0,52520,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Engine and other machine assemblers,51-2031,38.4,30.3,-8.1,-21.1,2.8,52540,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Excavating and loading machine and dragline operators, surface mining",47-5022,35.8,35.6,-0.1,-0.4,3.1,52550,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Desktop publishers,43-9031,5,4.4,-0.6,-12.4,0.4,53620,Associate's degree,4,None,4,Short-term on-the-job training,5
Fallers,45-4021,5.6,5.2,-0.4,-7.3,0.7,53900,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Broadcast technicians,27-4012,24.8,24.2,-0.7,-2.8,1.8,53920,Associate's degree,4,None,4,Short-term on-the-job training,5
"Electric motor, power tool, and related repairers",49-2092,17.1,17.7,0.6,3.4,1.7,53990,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Legal secretaries and administrative assistants,43-6012,156.3,147.3,-9,-5.8,19.6,54140,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Forest and conservation technicians,19-4071,33.8,32.7,-1.1,-3.2,3.9,54310,Associate's degree,4,None,4,None,6
"Floor layers, except carpet, wood, and hard tiles",47-2042,33.7,36.9,3.2,9.5,2.7,54340,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Patternmakers, metal and plastic",51-4062,1.6,1.2,-0.4,-24.4,0.1,54540,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Cement masons and concrete finishers,47-2051,206.7,210.4,3.8,1.8,14.3,54660,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Costume attendants,39-3092,6.7,7.1,0.4,5.9,1.8,54810,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Audio and video technicians,27-4011,92.3,95.4,3.1,3.3,7.3,54830,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Directors, religious activities and education",21-2021,138.9,141.8,2.9,2.1,13.8,54840,Bachelor's degree,3,Less than 5 years,2,None,6
"Community and social service specialists, all other",21-1099,119.2,124.7,5.5,4.6,13.1,54940,Bachelor's degree,3,None,4,None,6
Motorboat mechanics and service technicians,49-3051,26.2,27.8,1.6,6,2.6,54950,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Title examiners, abstractors, and searchers",23-2093,57.4,58.5,1.1,2,5.4,54980,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Payroll and timekeeping clerks,43-3051,161.1,134.2,-27,-16.7,13,55290,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Glaziers,47-2121,60.5,62.5,2,3.3,5.1,55440,High school diploma or equivalent,7,None,4,Apprenticeship,2
Tire builders,51-9197,20.9,21.4,0.5,2.3,2.5,55580,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Choreographers,27-2032,4.6,4.9,0.3,6.1,0.7,55600,High school diploma or equivalent,7,5 years or more,1,Long-term on-the-job training,3
Metal-refining furnace operators and tenders,51-4051,20.8,20.3,-0.5,-2.3,2,55770,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Plasterers and stucco masons,47-2161,24.2,25.2,1,4.1,1.9,56020,No formal educational credential,8,None,4,Long-term on-the-job training,3
Machinists,51-4041,299.5,299.6,0,0,29.5,56150,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,224.7,230,5.2,2.3,23.2,56170,High school diploma or equivalent,7,Less than 5 years,2,None,6
"Education and childcare administrators, preschool and daycare",11-3100,90.2,87.9,-2.3,-2.5,5.5,56270,Bachelor's degree,3,Less than 5 years,2,None,6
Embalmers,39-4011,3.6,3.7,0,1.3,0.6,56280,Associate's degree,4,None,4,Long-term on-the-job training,3
Real estate sales agents,41-9022,420.9,433.7,12.8,3.1,36.6,56320,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Postal service mail sorters, processors, and processing machine operators",43-5053,106.4,97.5,-8.9,-8.4,7.8,56530,No formal educational credential,8,None,4,Short-term on-the-job training,5
Airfield operations specialists,53-2022,16.9,17.6,0.7,4.2,1.6,56750,High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Bailiffs,33-3011,19,18.6,-0.4,-2.2,1.8,57050,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Chemical equipment operators and tenders,51-9011,128.9,133.1,4.3,3.3,14.4,57090,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Insulation workers, mechanical",47-2132,27.2,28.5,1.3,4.7,2.3,57250,High school diploma or equivalent,7,None,4,Apprenticeship,2
Terrazzo workers and finishers,47-2053,1.5,1.3,-0.2,-11.1,0.1,57260,High school diploma or equivalent,7,None,4,Apprenticeship,2
"Bus drivers, transit and intercity",53-3052,158.8,165.6,6.8,4.3,20.9,57440,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Heavy and tractor-trailer truck drivers,53-3032,2235.1,2324.4,89.3,4,237.6,57440,Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Postal service mail carriers,43-5052,319.4,308.1,-11.3,-3.5,20.6,57490,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Production, planning, and expediting clerks",43-5061,388.8,381.7,-7.1,-1.8,34.1,57770,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Chemical technicians,19-4031,57,59,2.1,3.7,6.7,57790,Associate's degree,4,None,4,Moderate-term on-the-job training,4
Massage therapists,31-9011,168,193.9,25.9,15.4,24.7,57950,Postsecondary nondegree award,5,None,4,None,6
Correctional officers and jailers,33-3012,387.5,357.4,-30.1,-7.8,30.1,57970,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
