,description,isco_08_4dg,rti_mihaylov_2019,isco_08_3dg,isco_08_2dg,isco_88_3dg,isco_88_2dg,rti_isco_88_2dg_mahutga_2018,ofs_isco_88_2dg_mahutga_2018,ss_isco_88_2dg_pp_x_2019,oesch_class_num,oesch_class_chr16,oesch_class_chr8,greenness,brownness,brown_dummy,greenness_title,greenness_source,brownness_source,brown_dummy_source,greenness_original,brownness_original,greenness_imputed,brownness_imputed
107,Economists,2631,-1,263,26,244,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.0449735,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0449735,0.0,TRUE,TRUE
108,"Sociologists, anthropologists and related professionals",2632,-1,263,26,244,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0449735,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0449735,0.0,TRUE,TRUE
109,"Philosophers, historians and political scientists",2633,-1,263,26,244,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0449735,0,0,"Philosophers, historians and political scientists",observed,observed,observed,0.0449735,0,FALSE,FALSE
110,Psychologists,2634,-1,263,26,244,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0449735,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0449735,0.0,TRUE,TRUE
111,Social work and counselling professionals,2635,-0.8333333,263,26,346,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0449735,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0449735,0.0,TRUE,TRUE
112,Religious professionals,2636,-1,263,26,246,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0449735,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0449735,0.0,TRUE,TRUE
113,Authors and related writers,2641,-0.7142857,264,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0193069,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0193069,0.0,TRUE,TRUE
114,Journalists,2642,-0.8461539,264,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0193069,0,0,Journalists,observed,observed,observed,0.0193069,0,FALSE,FALSE
115,"Translators, interpreters and other linguists",2643,-0.4285714,264,26,244,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0193069,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0193069,0.0,TRUE,TRUE
116,Visual artists,2651,-1,265,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
117,"Musicians, singers and composers",2652,-0.5,265,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
118,Dancers and choreographers,2653,-1,265,26,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
119,"Film, stage and related directors and producers",2654,-0.8181819,265,26,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
120,Actors,2655,-1,265,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
121,"Announcers on radio, television and other media",2656,-1,265,26,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
122,Creative and performing artists not elsewhere classified,2659,-1,265,26,245,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
123,Chemical and physical science technicians,3111,0.2,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.0572719,1,1,Chemical and physical science technicians,observed,observed,observed,0.0572719,1,FALSE,FALSE
124,Civil engineering technicians,3112,-1,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.0446421,0,0,Civil engineering technicians,observed,observed,observed,0.0446421,0,FALSE,FALSE
125,Electrical engineering technicians,3113,-0.5,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.089361,0,0,Electrical engineering technicians,observed,observed,observed,0.089361,0,FALSE,FALSE
126,Electronics engineering technicians,3114,-0.8,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0,0,Electronics engineering technicians,observed,observed,observed,0.100273,0,FALSE,FALSE
127,Mechanical engineering technicians,3115,-1,311,31,723,72,0.581736296768856,-0.250595177328247,1.36839756849417,6,Technicians,Technical (semi-) professionals,0.0462233,0,0,Mechanical engineering technicians,observed,observed,observed,0.0462233,0,FALSE,FALSE
128,Chemical engineering technicians,3116,-0.6,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.1064441,1,1,Chemical engineering technicians,observed,observed,observed,0.1064441,1,FALSE,FALSE
129,Mining and metallurgical technicians,3117,-0.5555556,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0,1,1,Mining and metallurgical technicians,observed,observed,observed,0,1,FALSE,FALSE
130,Draughtspersons,3118,0,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.0753274,0.375,1,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0753274,0.375,TRUE,TRUE
131,Physical and engineering science technicians not elsewhere classified,3119,-1,311,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.1584036,0,0,Physical and engineering science technicians n.e.c.,observed,observed,observed,0.1584036,0,FALSE,FALSE
132,Mining supervisors,3121,-1,312,31,811,81,0.447955496292165,1.87067691791565,1.99967559976445,6,Technicians,Technical (semi-) professionals,0,1,1,Mining supervisors,observed,observed,observed,0,1,FALSE,FALSE
133,Manufacturing supervisors,3122,-0.4285714,312,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.0,1.0,1,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0,1.0,TRUE,TRUE
134,Construction supervisors,3123,-0.6666667,312,31,712,71,-0.0711648819814308,-0.761721118062803,1.39399602017568,6,Technicians,Technical (semi-) professionals,0.0,1.0,1,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0,1.0,TRUE,TRUE
135,Power production plant operators,3131,0.25,313,31,724,72,0.581736296768856,-0.250595177328247,1.36839756849417,6,Technicians,Technical (semi-) professionals,0.119538,0.5,1,Power production plant operators,observed,observed,observed,0.119538,0.5,FALSE,FALSE
136,Incinerator and water treatment plant operators,3132,0.5,313,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.240863,0.5,1,Incinerator and water treatment plant operators,observed,observed,observed,0.240863,0.5,FALSE,FALSE
137,Chemical processing plant controllers,3133,0.7142857,313,31,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0,1,1,Chemical processing plant controllers,observed,observed,observed,0,1,FALSE,FALSE
138,Petroleum and natural gas refining plant operators,3134,0.6666667,313,31,815,81,0.447955496292165,1.87067691791565,1.99967559976445,6,Technicians,Technical (semi-) professionals,0,1,1,Petroleum and natural gas refining plant operators,observed,observed,observed,0,1,FALSE,FALSE
139,Metal production process controllers,3135,0.4285714,313,31,812,81,0.447955496292165,1.87067691791565,1.99967559976445,6,Technicians,Technical (semi-) professionals,0,1,1,Metal production process controllers,observed,observed,observed,0,1,FALSE,FALSE
140,Life science technicians (excluding medical),3141,-0.0769231,314,31,321,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.5,0,0,Life science technicians (excluding medical),observed,observed,observed,0.5,0,FALSE,FALSE
141,Agricultural technicians,3142,-0.7777778,314,31,321,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.0550568,0,0,Agricultural technicians,observed,observed,observed,0.0550568,0,FALSE,FALSE
142,Forestry technicians,3143,-1,314,31,321,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,1,0,0,Forestry technicians,observed,observed,observed,1,0,FALSE,FALSE
143,Ships' engineers,3151,-0.3333333,315,31,314,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
144,Ships' deck officers and pilots,3152,-0.4545455,315,31,314,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
145,Aircraft pilots and related associate professionals,3153,-0.1428572,315,31,314,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
146,Air traffic controllers,3154,-1,315,31,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
147,Air traffic safety electronics technicians,3155,-1,315,31,314,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0,0,Air traffic safety electronics technicians,observed,observed,observed,0.100273,0,FALSE,FALSE
148,Medical imaging and therapeutic equipment technicians,3211,-0.4545455,321,32,321,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
149,Medical and pathology laboratory technicians,3212,-0.2727273,321,32,321,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
150,Pharmaceutical technicians and assistants,3213,0.3333334,321,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
151,Medical and dental prosthetic technicians,3214,-1,321,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,6,Technicians,Technical (semi-) professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
152,Nursing associate professionals,3221,-0.75,322,32,323,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
153,Midwifery associate professionals,3222,-1,322,32,323,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
154,Traditional and complementary medicine associate professionals,3230,-1,323,32,324,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
155,Veterinary technicians and assistants,3240,-0.8,324,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,15,Skilled service workers,Service workers,0.1198021,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
156,Dental assistants and therapists,3251,-1,325,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,15,Skilled service workers,Service workers,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
157,Medical records and health information technicians,3252,0.4285714,325,32,414,41,2.37274527968472,0.60822857705923,0.572182924354772,6,Technicians,Technical (semi-) professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
158,Community health workers,3253,-1,325,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
159,Dispensing opticians,3254,-0.2,325,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
160,Physiotherapy technicians and assistants,3255,-1,325,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
161,Medical assistants,3256,-0.4,325,32,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
162,Environmental and occupational health inspectors and associates,3257,-1,325,32,315,31,-0.288254758479447,0.0758717807130387,1.30040163462812,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0,0,Environmental and occupational health inspectors and associates,observed,observed,observed,0.1198021,0,FALSE,FALSE
163,Ambulance workers,3258,-0.6666667,325,32,513,51,-0.492503612032303,-0.77067030954361,0.391650963705485,15,Skilled service workers,Service workers,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
164,Health associate professionals not elsewhere classified,3259,-0.7777778,325,32,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.1198021,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1198021,0.0,TRUE,TRUE
165,Securities and finance dealers and brokers,3311,-0.6,331,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.006681,0,0,Securities and finance dealers and brokers,observed,observed,observed,0.006681,0,FALSE,FALSE
166,Credit and loans officers,3312,0.3333333,331,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.006681,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.006681,0.0,TRUE,TRUE
167,Accounting associate professionals,3313,0.3333333,331,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.006681,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.006681,0.0,TRUE,TRUE
168,"Statistical, mathematical and related associate professionals",3314,-0.75,331,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.006681,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.006681,0.0,TRUE,TRUE
169,Valuers and loss assessors,3315,-0.6,331,33,341,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.006681,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.006681,0.0,TRUE,TRUE
170,Insurance representatives,3321,-0.7142857,332,33,341,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.029727,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.029727,0.0,TRUE,TRUE
171,Commercial sales representatives,3322,-0.75,332,33,341,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.055,0,0,Commercial sales representatives,observed,observed,observed,0.055,0,FALSE,FALSE
172,Buyers,3323,-0.875,332,33,341,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.029727,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.029727,0.0,TRUE,TRUE
173,Trade brokers,3324,-1,332,33,131,13,-1.42373583597295,-0.453091280476857,0.98522450232098,10,Lower grade managers,(Associate) managers,0.004454,0,0,Trade brokers,observed,observed,observed,0.004454,0,FALSE,FALSE
174,Clearing and forwarding agents,3331,1,333,33,342,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0615079,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0615079,0.0,TRUE,TRUE
175,Conference and event planners,3332,-1,333,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0615079,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0615079,0.0,TRUE,TRUE
176,Employment agents and contractors,3333,-0.4285714,333,33,342,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0615079,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0615079,0.0,TRUE,TRUE
177,Real estate agents and property managers,3334,-0.1428571,333,33,131,13,-1.42373583597295,-0.453091280476857,0.98522450232098,10,Lower grade managers,(Associate) managers,0.0615079,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0615079,0.0,TRUE,TRUE
178,Business services agents not elsewhere classified,3339,-0.1428572,333,33,341,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0615079,0,0,Business services agents n.e.c.,observed,observed,observed,0.0615079,0,FALSE,FALSE
179,Office supervisors,3341,-1,334,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,11,Skilled clerks,Clerks,0.0218227,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0218227,0.0,TRUE,TRUE
180,Legal secretaries,3342,0.7142857,334,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,11,Skilled clerks,Clerks,0.0218227,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0218227,0.0,TRUE,TRUE
181,Administrative and executive secretaries,3343,0.5,334,33,343,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0218227,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0218227,0.0,TRUE,TRUE
182,Medical secretaries,3344,0.5,334,33,411,41,2.37274527968472,0.60822857705923,0.572182924354772,11,Skilled clerks,Clerks,0.0218227,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0218227,0.0,TRUE,TRUE
183,Customs and border inspectors,3351,-0.25,335,33,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0062789,0,0,Customs and border inspectors,observed,observed,observed,0.0062789,0,FALSE,FALSE
184,Government tax and excise officials,3352,0,335,33,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0083719,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0083719,0.0,TRUE,TRUE
185,Government social benefits officials,3353,0.2,335,33,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0094184,0,0,Government social benefits officials,observed,observed,observed,0.0094184,0,FALSE,FALSE
186,Government licensing officials,3354,0.3333333,335,33,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0094184,0,0,Government licensing officials,observed,observed,observed,0.0094184,0,FALSE,FALSE
187,Police inspectors and detectives,3355,-1,335,33,345,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0083719,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0083719,0.0,TRUE,TRUE
188,Government regulatory associate professionals not elsewhere classified,3359,-0.2,335,33,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.0083719,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0083719,0.0,TRUE,TRUE
189,Legal and related associate professionals,3411,0.2,341,34,344,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,,,,,missing,missing,missing,,,FALSE,FALSE
190,Social work associate professionals,3412,-1,341,34,346,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,,,,,missing,missing,missing,,,FALSE,FALSE
191,Religious associate professionals,3413,-1,341,34,348,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,,,,,missing,missing,missing,,,FALSE,FALSE
192,Athletes and sports players,3421,-0.75,342,34,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,15,Skilled service workers,Service workers,,,,,missing,missing,missing,,,FALSE,FALSE
193,"Sports coaches, instructors and officials",3422,-0.7142857,342,34,334,33,-1.36796958306256,-0.64621617233052,1.15405543074471,15,Skilled service workers,Service workers,,,,,missing,missing,missing,,,FALSE,FALSE
194,Fitness and recreation instructors and program leaders,3423,-0.7777778,342,34,346,34,-0.325753644613277,0.310392109289678,1.27626112821775,15,Skilled service workers,Service workers,,,,,missing,missing,missing,,,FALSE,FALSE
195,Photographers,3431,0.25,343,34,313,31,-0.288254758479447,0.0758717807130387,1.30040163462812,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,,,,,missing,missing,missing,,,FALSE,FALSE
196,Interior designers and decorators,3432,-1,343,34,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,,,,,missing,missing,missing,,,FALSE,FALSE
197,"Gallery, museum and library technicians",3433,-0.1111111,343,34,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,,,,,missing,missing,missing,,,FALSE,FALSE
198,Chefs,3434,-0.5,343,34,512,51,-0.492503612032303,-0.77067030954361,0.391650963705485,15,Skilled service workers,Service workers,,,,,missing,missing,missing,,,FALSE,FALSE
199,Information and communications technology operations technicians,3511,0.5555556,351,35,312,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
200,Information and communications technology user support technicians,3512,-0.2,351,35,312,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
201,Computer network and systems technicians,3513,0.3333333,351,35,312,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
202,Web technicians,3514,-0.5555556,351,35,312,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
203,Broadcasting and audiovisual technicians,3521,0.1428571,352,35,313,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.100273,0.0,TRUE,TRUE
204,Telecommunications engineering technicians,3522,-1,352,35,311,31,-0.288254758479447,0.0758717807130387,1.30040163462812,6,Technicians,Technical (semi-) professionals,0.100273,0,0,Telecommunications engineering technicians,observed,observed,observed,0.100273,0,FALSE,FALSE
205,General office clerks,4110,0.75,411,41,419,41,2.37274527968472,0.60822857705923,0.572182924354772,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
206,Secretaries (general),4120,1,412,41,411,41,2.37274527968472,0.60822857705923,0.572182924354772,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
207,Typists and word processing operators,4131,1,413,41,411,41,2.37274527968472,0.60822857705923,0.572182924354772,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
208,Data entry clerks,4132,1,413,41,411,41,2.37274527968472,0.60822857705923,0.572182924354772,12,Low-skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
209,Bank tellers and related clerks,4211,1,421,42,421,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
210,"Bookmakers, croupiers and related gaming workers",4212,-0.2,421,42,910,91,0.143970046535782,-0.632911362155624,0.534917983379109,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
211,Pawnbrokers and money-lenders,4213,0.6666666,421,42,421,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
212,Debt collectors and related workers,4214,-0.2,421,42,421,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
213,Travel consultants and clerks,4221,0.25,422,42,422,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
214,Contact centre information clerks,4222,0.6666666,422,42,422,42,1.543656989132,-0.0560598224463979,0.581884761153682,12,Low-skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
215,Telephone switchboard operators,4223,0.6666667,422,42,422,42,1.543656989132,-0.0560598224463979,0.581884761153682,12,Low-skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
216,Hotel receptionists,4224,0.5555556,422,42,913,91,0.143970046535782,-0.632911362155624,0.534917983379109,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
217,Inquiry clerks,4225,0.2,422,42,422,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
218,Receptionists (general),4226,0.2,422,42,422,42,1.543656989132,-0.0560598224463979,0.581884761153682,11,Skilled clerks,Clerks,,,,,missing,missing,missing,,,FALSE,FALSE
