hazard_context,job_zone,onet_soc2018_code,onet_soc2018_title
12,2,41-2012.00,Gambling Change Persons and Booth Cashiers
12,4,17-1022.01,Geodetic Surveyors
12,3,51-4061.00,"Model Makers, Metal and Plastic"
12,2,11-9131.00,Postmasters and Mail Superintendents
12,1,51-6031.00,Sewing Machine Operators
11,3,11-3012.00,Administrative Services Managers
11,2,35-3011.00,Bartenders
11,5,19-1029.01,Bioinformatics Scientists
11,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
11,4,17-2061.00,Computer Hardware Engineers
11,3,15-1299.08,Computer Systems Engineers/Architects
11,1,35-2011.00,"Cooks, Fast Food"
11,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
11,5,19-2041.03,Industrial Ecologists
11,4,29-2036.00,Medical Dosimetrists
11,3,31-1131.00,Nursing Assistants
11,3,31-2012.00,Occupational Therapy Aides
11,3,29-2099.05,Ophthalmic Medical Technologists
11,2,31-9095.00,Pharmacy Aides
11,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
11,4,17-2072.01,Radio Frequency Identification Device Specialists
11,2,39-5093.00,Shampooers
11,3,11-9179.02,Spa Managers
11,3,17-3031.00,Surveying and Mapping Technicians
11,4,17-2199.10,Wind Energy Engineers
10,5,29-1229.01,Allergists and Immunologists
10,4,13-2023.00,Appraisers and Assessors of Real Estate
10,3,17-3011.00,Architectural and Civil Drafters
10,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
10,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
10,2,33-1091.00,First-Line Supervisors of Security Workers
10,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
10,4,11-9111.00,Medical and Health Services Managers
10,3,31-2011.00,Occupational Therapy Assistants
10,5,19-2012.00,Physicists
10,4,41-9031.00,Sales Engineers
9,5,29-1141.02,Advanced Practice Psychiatric Nurses
9,1,45-2091.00,Agricultural Equipment Operators
9,4,13-2022.00,Appraisers of Personal and Business Property
9,5,17-1011.00,"Architects, Except Landscape and Naval"
9,2,27-2021.00,Athletes and Sports Competitors
9,5,29-9091.00,Athletic Trainers
9,5,11-1011.03,Chief Sustainability Officers
9,5,29-1011.00,Chiropractors
9,4,11-9121.01,Clinical Research Coordinators
9,4,11-3021.00,Computer and Information Systems Managers
9,2,41-2021.00,Counter and Rental Clerks
9,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
9,5,19-2041.02,Environmental Restoration Planners
9,2,35-3041.00,"Food Servers, Nonrestaurant"
9,4,11-1021.00,General and Operations Managers
9,4,27-3091.00,Interpreters and Translators
9,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
9,2,45-4023.00,Log Graders and Scalers
9,1,45-4022.00,Logging Equipment Operators
9,2,39-3021.00,Motion Picture Projectionists
9,5,29-1224.00,Radiologists
9,4,13-1199.05,Sustainability Specialists
9,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
8,5,19-3091.00,Anthropologists and Archeologists
8,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
8,5,11-1011.00,Chief Executives
8,4,27-1021.00,Commercial and Industrial Designers
8,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
8,4,11-3121.00,Human Resources Managers
8,4,15-1212.00,Information Security Analysts
8,4,13-1075.00,Labor Relations Specialists
8,3,25-4031.00,Library Technicians
8,4,13-1111.00,Management Analysts
8,3,51-7031.00,"Model Makers, Wood"
8,5,29-1299.01,Naturopathic Physicians
8,3,29-2081.00,"Opticians, Dispensing"
8,4,19-1031.03,Park Naturalists
8,2,43-5052.00,Postal Service Mail Carriers
8,3,27-4014.00,Sound Engineering Technicians
8,3,25-9043.00,"Teaching Assistants, Special Education"
7,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
7,5,15-1221.00,Computer and Information Research Scientists
7,3,27-2031.00,Dancers
7,5,29-1031.00,Dietitians and Nutritionists
7,1,35-9021.00,Dishwashers
7,3,27-1022.00,Fashion Designers
7,2,11-9051.00,Food Service Managers
7,5,29-1216.00,General Internal Medicine Physicians
7,4,27-1025.00,Interior Designers
7,3,27-4021.00,Photographers
7,5,29-1123.00,Physical Therapists
7,3,33-9021.00,Private Detectives and Investigators
7,2,43-5061.00,"Production, Planning, and Expediting Clerks"
7,4,11-3061.00,Purchasing Managers
7,4,41-9021.00,Real Estate Brokers
7,4,29-1125.00,Recreational Therapists
7,4,11-9199.01,Regulatory Affairs Managers
7,4,13-1151.00,Training and Development Specialists
7,4,11-9199.10,Wind Energy Development Managers
6,2,27-2011.00,Actors
6,5,29-1129.01,Art Therapists
6,4,19-2021.00,Atmospheric and Space Scientists
6,4,27-2022.00,Coaches and Scouts
6,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
6,2,43-4051.00,Customer Service Representatives
6,4,29-1128.00,Exercise Physiologists
6,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
6,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
6,5,29-9092.00,Genetic Counselors
6,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
6,2,41-9012.00,Models
6,2,31-1122.00,Personal Care Aides
6,2,33-9099.02,Retail Loss Prevention Specialists
6,2,41-2031.00,Retail Salespersons
6,4,11-3071.04,Supply Chain Managers
6,2,43-3071.00,Tellers
5,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
5,5,25-4011.00,Archivists
5,3,33-3011.00,Bailiffs
5,2,39-6012.00,Concierges
5,4,13-1051.00,Cost Estimators
5,4,11-9179.01,Fitness and Wellness Coordinators
5,4,19-3092.00,Geographers
5,5,21-1022.00,Healthcare Social Workers
5,4,17-1012.00,Landscape Architects
5,3,27-1026.00,Merchandise Displayers and Window Trimmers
5,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
5,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
5,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
5,4,25-2057.00,"Special Education Teachers, Middle School"
5,2,53-7065.00,Stockers and Order Fillers
5,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
5,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
4,5,25-2059.01,Adapted Physical Education Specialists
4,3,53-2021.00,Air Traffic Controllers
4,4,17-1021.00,Cartographers and Photogrammetrists
4,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
4,4,11-9199.02,Compliance Managers
4,3,15-1232.00,Computer User Support Specialists
4,2,33-9091.00,Crossing Guards and Flaggers
4,1,51-9031.00,"Cutters and Trimmers, Hand"
4,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
4,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
4,5,19-1041.00,Epidemiologists
4,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
4,3,15-1299.02,Geographic Information Systems Technologists and Technicians
4,4,21-1091.00,Health Education Specialists
4,5,15-1211.01,Health Informatics Specialists
4,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
4,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
4,4,15-1244.00,Network and Computer Systems Administrators
4,4,27-3023.00,"News Analysts, Reporters, and Journalists"
4,3,29-2053.00,Psychiatric Technicians
4,3,41-9022.00,Real Estate Sales Agents
4,4,11-2022.00,Sales Managers
4,3,25-3021.00,Self-Enrichment Teachers
4,4,11-9151.00,Social and Community Service Managers
4,4,27-1014.00,Special Effects Artists and Animators
4,4,11-3131.00,Training and Development Managers
3,5,29-1291.00,Acupuncturists
3,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
3,1,39-3091.00,Amusement and Recreation Attendants
3,5,25-1031.00,"Architecture Teachers, Postsecondary"
3,5,19-2011.00,Astronomers
3,1,35-3023.01,Baristas
3,2,53-3052.00,"Bus Drivers, Transit and Intercity"
3,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
3,5,25-1122.00,"Communications Teachers, Postsecondary"
3,4,15-1231.00,Computer Network Support Specialists
3,3,15-1211.00,Computer Systems Analysts
3,5,11-9033.00,"Education Administrators, Postsecondary"
3,5,25-1064.00,"Geography Teachers, Postsecondary"
3,1,45-2041.00,"Graders and Sorters, Agricultural Products"
3,2,31-1121.00,Home Health Aides
3,4,15-1299.09,Information Technology Project Managers
3,5,25-9031.00,Instructional Coordinators
3,4,11-9081.00,Lodging Managers
3,5,15-2021.00,Mathematicians
3,5,21-1014.00,Mental Health Counselors
3,4,29-1129.02,Music Therapists
3,4,13-1199.06,Online Merchants
3,5,15-2031.00,Operations Research Analysts
3,5,29-1041.00,Optometrists
3,5,29-1299.02,Orthoptists
3,2,53-6061.00,Passenger Attendants
3,2,31-1133.00,Psychiatric Aides
3,3,39-9041.00,Residential Advisors
3,5,19-3034.00,School Psychologists
3,4,15-1253.00,Software Quality Assurance Analysts and Testers
3,5,29-1127.00,Speech-Language Pathologists
3,4,43-9111.00,Statistical Assistants
2,4,13-2011.00,Accountants and Auditors
2,4,11-2011.00,Advertising and Promotions Managers
2,2,51-3021.00,Butchers and Meat Cutters
2,4,21-1021.00,"Child, Family, and School Social Workers"
2,5,19-3033.00,Clinical and Counseling Psychologists
2,3,43-9031.00,Desktop Publishers
2,2,43-4071.00,File Clerks
2,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
2,2,39-3011.00,Gambling Dealers
2,1,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
2,5,19-3032.00,Industrial-Organizational Psychologists
2,4,41-3021.00,Insurance Sales Agents
2,4,33-3021.06,Intelligence Analysts
2,5,25-1112.00,"Law Teachers, Postsecondary"
2,5,25-4022.00,Librarians and Media Collections Specialists
2,4,11-2021.00,Marketing Managers
2,4,13-1121.00,"Meeting, Convention, and Event Planners"
2,4,27-2041.00,Music Directors and Composers
2,4,27-2042.00,Musicians and Singers
2,5,29-1217.00,Neurologists
2,5,19-3039.02,Neuropsychologists
2,2,43-9061.00,"Office Clerks, General"
2,4,27-2012.00,Producers and Directors
2,4,19-2099.01,Remote Sensing Scientists and Technologists
2,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
2,2,53-3053.00,Shuttle Drivers and Chauffeurs
2,4,19-4061.00,Social Science Research Assistants
2,4,25-2056.00,"Special Education Teachers, Elementary School"
2,5,29-1229.06,Sports Medicine Physicians
2,5,19-3051.00,Urban and Regional Planners
2,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
2,2,35-3031.00,Waiters and Waitresses
2,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
1,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
1,3,43-3021.00,Billing and Posting Clerks
1,5,15-2041.01,Biostatisticians
1,4,13-1199.04,Business Continuity Planners
1,5,19-3039.03,Clinical Neuropsychologists
1,3,27-3092.00,Court Reporters and Simultaneous Captioners
1,2,43-4031.00,"Court, Municipal, and License Clerks"
1,4,15-1243.01,Data Warehousing Specialists
1,4,15-1242.00,Database Administrators
1,4,15-1243.00,Database Architects
1,4,15-1299.03,Document Management Specialists
1,3,43-4061.00,"Eligibility Interviewers, Government Programs"
1,1,35-3023.00,Fast Food and Counter Workers
1,4,27-4032.00,Film and Video Editors
1,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
1,2,27-1023.00,Floral Designers
1,4,27-1024.00,Graphic Designers
1,5,19-3093.00,Historians
1,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
1,4,15-1299.05,Information Security Engineers
1,4,13-2053.00,Insurance Underwriters
1,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
1,5,23-1012.00,Judicial Law Clerks
1,4,13-1161.00,Market Research Analysts and Marketing Specialists
1,3,31-9011.00,Massage Therapists
1,4,27-2012.03,Media Programming Directors
1,2,43-6013.00,Medical Secretaries and Administrative Assistants
1,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
1,3,23-2011.00,Paralegals and Legal Assistants
1,2,33-3041.00,Parking Enforcement Workers
1,2,43-3061.00,Procurement Clerks
1,5,29-1223.00,Psychiatrists
1,2,43-5031.00,Public Safety Telecommunicators
1,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1,4,19-4099.03,Remote Sensing Technicians
1,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
1,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
1,2,51-3023.00,Slaughterers and Meat Packers
1,4,21-1093.00,Social and Human Service Assistants
1,4,25-2058.00,"Special Education Teachers, Secondary School"
1,4,27-3042.00,Technical Writers
1,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
1,4,19-3099.01,Transportation Planners
0,4,15-2011.00,Actuaries
0,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
0,4,41-3011.00,Advertising Sales Agents
0,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
0,4,27-1011.00,Art Directors
0,5,29-1181.00,Audiologists
0,2,39-6011.00,Baggage Porters and Bellhops
0,3,39-5011.00,Barbers
0,2,43-3011.00,Bill and Account Collectors
0,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
0,3,43-4011.00,Brokerage Clerks
0,4,13-2031.00,Budget Analysts
0,4,15-2051.01,Business Intelligence Analysts
0,5,25-1011.00,"Business Teachers, Postsecondary"
0,2,41-2011.00,Cashiers
0,3,27-2032.00,Choreographers
0,5,21-2011.00,Clergy
0,5,19-2041.01,Climate Change Policy Analysts
0,4,15-2051.02,Clinical Data Managers
0,4,11-3111.00,Compensation and Benefits Managers
0,4,15-1251.00,Computer Programmers
0,5,25-1021.00,"Computer Science Teachers, Postsecondary"
0,2,43-4021.00,Correspondence Clerks
0,4,13-2041.00,Credit Analysts
0,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
0,4,13-2071.00,Credit Counselors
0,3,13-1041.08,Customs Brokers
0,2,43-9021.00,Data Entry Keyers
0,2,41-9011.00,Demonstrators and Product Promoters
0,4,21-2021.00,"Directors, Religious Activities and Education"
0,5,25-1063.00,"Economics Teachers, Postsecondary"
0,5,19-3011.00,Economists
0,4,27-3041.00,Editors
0,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
0,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
0,5,25-1081.00,"Education Teachers, Postsecondary"
0,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
0,4,25-2021.00,"Elementary School Teachers, Except Special Education"
0,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
0,5,19-3011.01,Environmental Economists
0,4,13-1041.03,Equal Opportunity Representatives and Officers
0,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
0,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
0,3,51-6092.00,Fabric and Apparel Patternmakers
0,4,13-2061.00,Financial Examiners
0,4,11-3031.00,Financial Managers
0,5,13-2099.01,Financial Quantitative Analysts
0,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
0,2,43-5011.01,Freight Forwarders
0,4,13-1131.00,Fundraisers
0,4,11-2033.00,Fundraising Managers
0,2,39-3012.00,Gambling and Sports Book Writers and Runners
0,2,43-3041.00,Gambling Cage Workers
0,2,11-9071.00,Gambling Managers
0,3,29-2092.00,Hearing Aid Specialists
0,5,25-1125.00,"History Teachers, Postsecondary"
0,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
0,4,13-1071.00,Human Resources Specialists
0,2,43-9041.00,Insurance Claims and Policy Processing Clerks
0,5,11-3031.03,Investment Fund Managers
0,5,23-1011.00,Lawyers
0,3,43-6012.00,Legal Secretaries and Administrative Assistants
0,2,43-4121.00,"Library Assistants, Clerical"
0,5,25-1082.00,"Library Science Teachers, Postsecondary"
0,3,43-4131.00,Loan Interviewers and Clerks
0,4,13-2072.00,Loan Officers
0,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
0,5,21-1013.00,Marriage and Family Therapists
0,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
0,5,21-1023.00,Mental Health and Substance Abuse Social Workers
0,2,39-9011.01,Nannies
0,3,43-4141.00,New Accounts Clerks
0,5,29-1122.00,Occupational Therapists
0,2,53-6021.00,Parking Attendants
0,3,29-2099.08,Patient Representatives
0,3,43-3051.00,Payroll and Timekeeping Clerks
0,4,13-2052.00,Personal Financial Advisors
0,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
0,4,27-3043.05,"Poets, Lyricists and Creative Writers"
0,5,25-1065.00,"Political Science Teachers, Postsecondary"
0,5,19-3094.00,Political Scientists
0,3,25-2011.00,"Preschool Teachers, Except Special Education"
0,4,43-9081.00,Proofreaders and Copy Markers
0,5,25-1066.00,"Psychology Teachers, Postsecondary"
0,4,27-3031.00,Public Relations Specialists
0,2,43-4171.00,Receptionists and Information Clerks
0,4,13-1041.07,Regulatory Affairs Specialists
0,4,21-1015.00,Rehabilitation Counselors
0,4,13-1161.01,Search Marketing Strategists
0,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
0,1,51-6051.00,"Sewers, Hand"
0,5,25-1113.00,"Social Work Teachers, Postsecondary"
0,5,19-3041.00,Sociologists
0,5,25-1067.00,"Sociology Teachers, Postsecondary"
0,4,15-1252.00,Software Developers
0,5,25-2051.00,"Special Education Teachers, Preschool"
0,3,31-9099.01,Speech-Language Pathology Assistants
0,5,15-2041.00,Statisticians
0,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
0,4,25-3031.00,"Substitute Teachers, Short-Term"
0,5,19-3022.00,Survey Researchers
0,2,43-2011.00,"Switchboard Operators, Including Answering Service"
0,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
0,4,27-2012.04,Talent Directors
0,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
0,3,13-2082.00,Tax Preparers
0,2,41-9041.00,Telemarketers
0,2,43-2021.00,Telephone Operators
0,3,41-3041.00,Travel Agents
0,4,11-3031.01,Treasurers and Controllers
0,3,25-3041.00,Tutors
0,4,15-1255.01,Video Game Designers
0,4,15-1299.01,Web Administrators
0,3,15-1254.00,Web Developers
0,2,43-9022.00,Word Processors and Typists
0,4,27-3043.00,Writers and Authors
